US Election,GE11,GE12,GE13S,GE13,GE14,GE15
44352,18322,16991,21473,21473,15032,24267
39332,9058,11643,14047,14047,13594,11753
1115,22498,23821,23343,23343,7874,7085
616,9950,10150,19306,19306,20909,1939
191678,17367,16451,19376,19376,15306,244
82545,14124,16151,18005,18005,8465,24562
3785,16510,13762,406,406,16547,15370
2031,5738,8792,21407,21407,11691,15143
68435,19123,19424,9546,9546,11362,708
56873,16981,17219,180,180,18954,417
1250,26657,24179,24161,24161,10061,31458
623,12945,17119,20891,20891,5512,8242
9441,14776,15003,33334,33334,18695,7089
2570,12604,14634,22890,22890,12829,25463
2143,29740,29687,20654,20654,12413,11945
98406,22440,23956,16212,16212,29984,5417
53895,28379,20741,243,243,16975,4566
16011,13864,20557,36198,36198,13375,89
21959,36707,35689,32263,32263,16384,31685
9013,26493,28671,27364,27364,15285,11229
5065,24430,27311,25491,25491,7254,6149
2815,24380,23238,3530,3530,28959,3144
671,30154,26510,257,257,23401,47584
614,19749,24211,42870,42870,18390,16000
3333,15357,16864,37923,37923,32475,14489
1017,15038,16383,32165,32165,17275,5329
933,29607,25541,29527,29527,14181,28217
23737,14162,22443,32429,32429,36624,17258
9661,36067,33822,31233,31233,23143,2702
5094,18565,24441,22084,22084,19400,452
4953,32661,36074,19277,19277,26536,52275
2381,28432,28461,38538,38538,20728,20524
1623,26269,28774,34416,34416,14901,14523
6077,15953,17036,44194,44194,81,622
1864,25403,23445,34646,34646,22312,37486
1569,7281,12199,772,772,21773,27555
8833,22011,20448,200,200,21651,8930
3373,11828,15901,43504,43504,20088,2383
2940,23095,33748,38319,38319,14870,366
34669,19473,11678,34151,34151,6970,151
19077,21737,30348,25714,25714,30902,115
3680,21147,16950,2630,2630,20830,56298
8164,26215,37882,390,390,19618,28237
2242,17651,22050,279,279,45532,13879
1780,17097,23067,25128,25128,23963,1805
7971,8099,13582,20952,20952,22760,256
2514,6552,20210,24393,24393,279,49008
2406,18823,17123,21351,21351,38557,17719
3064,12818,31243,1590,1590,37483,8058
1242,28281,15131,46466,46466,14472,809
553,17564,28248,12307,12307,31724,49461
8313,21652,9759,328,328,22911,16269
2016,17424,30493,37090,37090,15449,15590
1531,24988,14247,25369,25369,22459,973
18353,17518,882,201,201,17723,34606
4559,22529,35140,55877,55877,12120,12819
2383,21268,14125,12814,12814,18547,3736
7911,29430,27618,36636,36636,18466,52573
2787,10579,16589,10674,10674,14891,31554
1562,21114,15749,1801,1801,51653,16691
13042,8177,15041,305,305,7751,1201
3293,12293,12526,30003,30003,502,525
3158,4213,6953,21405,21405,181,50580
26829,10924,10992,297,297,35534,49465
